Entity,Code,Year,Congenital anomalies_both sexes_age_all ages,Diseases of the blood and blood-forming organs_both sexes_age_all ages,Neoplasms_both sexes_age_all ages,Diseases of the circulatory system_both sexes_age_all ages,Certain conditions originating in the perinatal period_both sexes_age_all ages,Diseases of the digestive system_both sexes_age_all ages,Diseases of the genitourinary system_both sexes_age_all ages,Infectious and parasitic diseases_both sexes_age_all ages,Injury and poisoning_both sexes_age_all ages,Mental disorders_both sexes_age_all ages,Diseases of the respiratory system_both sexes_age_all ages,Symptoms signs and ill-defined conditions_both sexes_age_all ages
France,FRA,1925,1.06,2.59,84.92,492.32,20.43,84.7,57.4,241.21,137.87,6.82,315.03,490.31
France,FRA,1926,1.15,2.82,95.5,488.44,22.98,93.92,64.04,256.3,133.8,7.18,333.23,458.15
France,FRA,1927,1.18,3.42,106.87,469.9,23.55,94.03,70.63,261.04,120.55,7.33,395.7,365.97
France,FRA,1928,1.42,3.48,108.01,473.02,24.37,97.12,73.03,260.45,123.15,7.44,343.44,361.02
France,FRA,1929,1.87,3.73,108.23,523.44,25.1,98.74,79.84,260.65,132.22,7.58,437.21,393
France,FRA,1930,1.65,3.17,109.45,471.53,21.49,88.93,84.44,244.77,136.33,7.63,317.9,309.43
France,FRA,1931,1.08,3.34,110.43,490.71,20.47,87.06,84.69,234.68,130.57,6.96,355.47,341.67
France,FRA,1932,1.25,3.61,110.9,478.8,23.68,88.24,83.2,225.14,133.98,6.92,308.87,322.39
France,FRA,1933,1.04,3.56,109.87,486.05,21.57,86.01,82.53,215.41,133.44,6.65,325.58,333.83
France,FRA,1934,1.05,3.29,108.08,476.06,24.6,87.37,80.46,210.4,139.04,7.17,276.64,323.34
France,FRA,1935,0.87,3.22,107.84,497.14,24.47,89.51,82.82,203.27,138.85,8.05,299.59,349.25
France,FRA,1936,0.9,3.35,109.32,487.28,24.31,86.91,83.76,196.14,131.52,7.57,281.74,335.23
France,FRA,1937,1.32,4.25,111.89,501.65,21.16,91.46,82.56,195.25,129.33,8.42,264.03,328.52
France,FRA,1938,2.28,4.53,113.72,521.29,20.55,92.23,82.88,197.04,137.41,9.19,263.03,359.62
France,FRA,1939,2.79,3.97,105.54,524.5,19.14,83.29,78.04,187.74,140.47,8.92,262.06,401.63
France,FRA,1940,3.96,3.57,144.72,666.94,28.67,101.83,125.11,235.61,177.86,10.16,378.3,347.25
France,FRA,1941,3.66,5.03,152.34,648.94,27.5,104.58,133.5,259.65,116.87,10.87,284.37,260.77
France,FRA,1942,4.1,6.09,158.91,645.9,30.14,95.79,140.57,254.37,104.44,7.82,288.72,235.79
France,FRA,1943,3.74,3.55,160.02,575.46,27.95,82.51,115.36,243.15,130.16,6.81,256.64,189.73
France,FRA,1944,4.28,3.68,156.64,596.66,30.31,73.16,110.88,214.64,466.81,7.34,282.62,197.58
France,FRA,1945,4.68,3.73,156.65,562.39,36.6,77.92,102.15,219.07,146.35,7.11,254.81,174.7
France,FRA,1946,4.88,3.16,153.09,491.49,32.92,62.64,91.17,149.96,101.13,5.01,197.26,144.69
